Segment,MINIS,MINIS,MINIS,MINIS,MINIS,MINIS,MINIS,MINIS,KLEINWAGEN,KLEINWAGEN,KLEINWAGEN,KLEINWAGEN,KLEINWAGEN,KLEINWAGEN,KLEINWAGEN,KLEINWAGEN,KOMPAKTKLASSE,KOMPAKTKLASSE,KOMPAKTKLASSE,KOMPAKTKLASSE,KOMPAKTKLASSE,KOMPAKTKLASSE,KOMPAKTKLASSE,KOMPAKTKLASSE,MITTELKLASSE,MITTELKLASSE,MITTELKLASSE,MITTELKLASSE,MITTELKLASSE,MITTELKLASSE,MITTELKLASSE,MITTELKLASSE,OBERE MITTELKLASSE,OBERE MITTELKLASSE,OBERE MITTELKLASSE,OBERE MITTELKLASSE,OBERE MITTELKLASSE,OBERE MITTELKLASSE,OBERE MITTELKLASSE,OBERE MITTELKLASSE,OBERKLASSE,OBERKLASSE,OBERKLASSE,OBERKLASSE,OBERKLASSE,OBERKLASSE,OBERKLASSE,OBERKLASSE,SUVs,SUVs,SUVs,SUVs,SUVs,SUVs,SUVs,SUVs,GELÄNDEWAGEN,GELÄNDEWAGEN,GELÄNDEWAGEN,GELÄNDEWAGEN,GELÄNDEWAGEN,GELÄNDEWAGEN,GELÄNDEWAGEN,GELÄNDEWAGEN,SPORTWAGEN,SPORTWAGEN,SPORTWAGEN,SPORTWAGEN,SPORTWAGEN,SPORTWAGEN,SPORTWAGEN,SPORTWAGEN,MINI-VANS,MINI-VANS,MINI-VANS,MINI-VANS,MINI-VANS,MINI-VANS,MINI-VANS,MINI-VANS,GROSSRAUM-VANS,GROSSRAUM-VANS,GROSSRAUM-VANS,GROSSRAUM-VANS,GROSSRAUM-VANS,GROSSRAUM-VANS,GROSSRAUM-VANS,GROSSRAUM-VANS,UTILITIES,UTILITIES,UTILITIES,UTILITIES,UTILITIES,UTILITIES,UTILITIES,UTILITIES,WOHNMOBILE,WOHNMOBILE,WOHNMOBILE,WOHNMOBILE,WOHNMOBILE,WOHNMOBILE,WOHNMOBILE,WOHNMOBILE,Sonstige,Sonstige,Sonstige,Sonstige,Sonstige,Sonstige,Sonstige,Sonstige
Power Type,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other,ICE_P,ICE_D,CNG,LPG,HEV,PHEV,BEV,Other
2023-01-01,3730.0,1.0,3.0,0.0,1826.0,0.0,1957.0,0.0,14091.0,250.0,23.0,1.0,6340.0,9.0,595.0,-9.0,12416.0,7220.0,35.0,525.0,6590.0,1442.0,1511.0,-1442.0,3535.0,5269.0,11.0,0.0,8760.0,1536.0,668.0,-1536.0,233.0,298.0,0.0,0.0,4256.0,694.0,257.0,-682.0,206.0,282.0,0.0,0.0,721.0,178.0,1152.0,-177.0,23158.0,4630.0,23.0,117.0,10568.0,2067.0,9879.0,-2061.0,6196.0,7617.0,0.0,1.0,9905.0,2144.0,1523.0,-2143.0,1844.0,116.0,0.0,0.0,528.0,75.0,0.0,-75.0,242.0,174.0,0.0,0.0,237.0,112.0,6.0,-112.0,1622.0,2887.0,0.0,414.0,177.0,0.0,159.0,0.0,1978.0,6483.0,2.0,0.0,564.0,470.0,227.0,-470.0,26.0,3920.0,0.0,0.0,0.0,0.0,0.0,2.0,645.0,83.0,0.0,10.0,300.0,126.0,202.0,-126.0
2023-02-01,2951.0,0.0,0.0,0.0,2577.0,0.0,2597.0,0.0,16070.0,302.0,40.0,0.0,5475.0,17.0,2380.0,-17.0,13322.0,8323.0,37.0,324.0,8916.0,1673.0,4055.0,-1673.0,3720.0,4692.0,4.0,0.0,10153.0,2517.0,2370.0,-2517.0,238.0,335.0,0.0,0.0,5625.0,707.0,402.0,-702.0,226.0,172.0,0.0,0.0,885.0,221.0,710.0,-221.0,26340.0,4683.0,29.0,172.0,13018.0,2941.0,16833.0,-2936.0,5834.0,5654.0,0.0,2.0,10178.0,3099.0,2278.0,-3094.0,1687.0,48.0,0.0,0.0,342.0,67.0,0.0,-67.0,270.0,425.0,0.0,0.0,784.0,258.0,16.0,-258.0,1575.0,2252.0,0.0,329.0,321.0,0.0,165.0,0.0,2188.0,6190.0,0.0,0.0,387.0,303.0,453.0,-303.0,27.0,5274.0,0.0,1.0,0.0,0.0,1.0,1.0,909.0,83.0,0.0,11.0,319.0,113.0,215.0,-113.0
2023-03-01,4691.0,0.0,14.0,0.0,3343.0,0.0,4383.0,0.0,23489.0,460.0,56.0,3.0,6140.0,49.0,2912.0,-49.0,16483.0,9493.0,33.0,464.0,12029.0,2176.0,6303.0,-2176.0,6008.0,5936.0,10.0,0.0,13883.0,2738.0,4691.0,-2738.0,287.0,449.0,0.0,0.0,7263.0,1080.0,499.0,-1066.0,357.0,291.0,0.0,0.0,1188.0,340.0,1210.0,-340.0,33812.0,6187.0,29.0,251.0,22450.0,5451.0,20760.0,-5445.0,8356.0,6772.0,0.0,1.0,14712.0,4060.0,2054.0,-4049.0,3109.0,63.0,0.0,0.0,577.0,153.0,0.0,-153.0,492.0,487.0,0.0,0.0,1216.0,385.0,44.0,-385.0,1740.0,2275.0,0.0,426.0,545.0,0.0,138.0,0.0,3412.0,7143.0,1.0,0.0,368.0,214.0,706.0,-214.0,46.0,8933.0,0.0,1.0,2.0,2.0,2.0,0.0,989.0,108.0,0.0,15.0,313.0,128.0,423.0,-126.0
2023-04-01,4024.0,0.0,14.0,0.0,1766.0,0.0,3421.0,0.0,17442.0,230.0,59.0,0.0,4380.0,41.0,2290.0,-41.0,11699.0,6706.0,29.0,342.0,8014.0,1485.0,4542.0,-1485.0,4884.0,5085.0,6.0,0.0,10763.0,2065.0,2103.0,-2065.0,259.0,318.0,0.0,0.0,5724.0,860.0,308.0,-846.0,323.0,235.0,0.0,0.0,1001.0,194.0,688.0,-194.0,24147.0,3962.0,43.0,131.0,15200.0,4046.0,14402.0,-4040.0,5753.0,4785.0,0.0,0.0,10589.0,2619.0,1115.0,-2619.0,2392.0,41.0,0.0,0.0,386.0,99.0,0.0,-99.0,507.0,269.0,0.0,0.0,789.0,162.0,30.0,-162.0,1634.0,1622.0,0.0,407.0,283.0,0.0,44.0,0.0,2565.0,5464.0,2.0,0.0,280.0,84.0,654.0,-84.0,34.0,7338.0,0.0,1.0,3.0,3.0,3.0,-2.0,856.0,83.0,0.0,22.0,290.0,129.0,140.0,-124.0
2023-05-01,5092.0,0.0,12.0,0.0,1287.0,0.0,3870.0,0.0,17910.0,213.0,50.0,2.0,6129.0,25.0,3045.0,-25.0,14809.0,7676.0,41.0,530.0,9172.0,1621.0,5216.0,-1621.0,6085.0,6277.0,4.0,0.0,14303.0,2580.0,3326.0,-2580.0,266.0,332.0,0.0,0.0,6940.0,941.0,662.0,-914.0,335.0,189.0,0.0,0.0,1194.0,274.0,1018.0,-274.0,28032.0,5056.0,23.0,140.0,17610.0,5257.0,22427.0,-5255.0,6592.0,5779.0,0.0,0.0,12654.0,2606.0,1641.0,-2600.0,2922.0,35.0,0.0,0.0,518.0,124.0,0.0,-124.0,481.0,245.0,0.0,0.0,972.0,169.0,50.0,-169.0,1826.0,2714.0,0.0,480.0,380.0,0.0,128.0,0.0,2486.0,6543.0,0.0,0.0,228.0,112.0,978.0,-112.0,37.0,8318.0,0.0,1.0,1.0,0.0,6.0,2.0,827.0,128.0,0.0,13.0,257.0,94.0,413.0,-91.0
2023-06-01,6193.0,0.0,32.0,0.0,2629.0,0.0,6148.0,0.0,20968.0,350.0,24.0,3.0,7595.0,29.0,2946.0,-29.0,15947.0,9314.0,75.0,826.0,11069.0,2337.0,6648.0,-2337.0,5739.0,7086.0,6.0,0.0,12394.0,2631.0,4483.0,-2631.0,242.0,352.0,0.0,0.0,7001.0,1026.0,659.0,-1008.0,273.0,194.0,0.0,0.0,1159.0,285.0,1629.0,-285.0,34176.0,6107.0,16.0,202.0,20201.0,5790.0,27326.0,-5774.0,7378.0,6937.0,0.0,1.0,14011.0,3253.0,1449.0,-3245.0,2781.0,43.0,0.0,0.0,466.0,126.0,0.0,-126.0,508.0,290.0,0.0,0.0,688.0,107.0,55.0,-107.0,2241.0,2426.0,0.0,1066.0,430.0,0.0,186.0,0.0,2239.0,6714.0,2.0,0.0,164.0,108.0,1123.0,-108.0,43.0,6922.0,2.0,2.0,1.0,0.0,1.0,2.0,954.0,125.0,0.0,11.0,441.0,238.0,335.0,-190.0
2023-07-01,5794.0,0.0,34.0,0.0,2148.0,0.0,6521.0,0.0,17911.0,218.0,58.0,4.0,6930.0,18.0,2530.0,-18.0,13626.0,9629.0,70.0,346.0,9968.0,1717.0,6686.0,-1717.0,4698.0,5352.0,8.0,0.0,11090.0,2410.0,4463.0,-2410.0,186.0,290.0,0.0,0.0,5483.0,865.0,757.0,-854.0,224.0,150.0,0.0,0.0,834.0,274.0,1232.0,-274.0,27792.0,5489.0,34.0,108.0,17393.0,5395.0,22873.0,-5364.0,6047.0,6161.0,0.0,1.0,11799.0,3113.0,1756.0,-3113.0,2360.0,21.0,0.0,0.0,388.0,139.0,1.0,-139.0,518.0,195.0,0.0,0.0,553.0,100.0,49.0,-100.0,1351.0,2635.0,0.0,506.0,320.0,0.0,154.0,0.0,1744.0,5895.0,5.0,0.0,162.0,96.0,1249.0,-96.0,36.0,6364.0,1.0,0.0,1.0,1.0,8.0,0.0,1071.0,97.0,0.0,26.0,414.0,217.0,403.0,-203.0
2023-08-01,5274.0,0.0,30.0,0.0,3376.0,0.0,9418.0,0.0,17110.0,155.0,21.0,3.0,7823.0,44.0,6121.0,-44.0,12335.0,9277.0,35.0,351.0,9137.0,1339.0,13878.0,-1339.0,4045.0,4763.0,9.0,0.0,11572.0,1851.0,5629.0,-1851.0,224.0,241.0,0.0,0.0,4958.0,922.0,1008.0,-871.0,187.0,83.0,0.0,0.0,971.0,356.0,1257.0,-356.0,25019.0,5644.0,20.0,102.0,18492.0,6034.0,43026.0,-6034.0,5318.0,5808.0,0.0,0.0,12042.0,3528.0,2764.0,-3528.0,1987.0,27.0,0.0,0.0,285.0,110.0,0.0,-110.0,497.0,238.0,0.0,0.0,711.0,153.0,180.0,-153.0,1136.0,2524.0,0.0,444.0,537.0,0.0,248.0,0.0,1417.0,6025.0,15.0,0.0,173.0,70.0,2450.0,-70.0,29.0,4815.0,0.0,0.0,1.0,0.0,16.0,0.0,1020.0,68.0,0.0,20.0,318.0,145.0,654.0,-140.0
2023-09-01,4095.0,0.0,10.0,0.0,2937.0,0.0,3651.0,0.0,19135.0,206.0,12.0,5.0,6756.0,21.0,3923.0,-21.0,13815.0,9272.0,12.0,281.0,9588.0,1666.0,3281.0,-1666.0,4244.0,5747.0,2.0,0.0,10585.0,1983.0,1320.0,-1983.0,232.0,264.0,0.0,0.0,4326.0,790.0,1065.0,-787.0,206.0,88.0,0.0,0.0,1106.0,332.0,853.0,-332.0,25291.0,5365.0,9.0,83.0,21733.0,6445.0,15451.0,-6445.0,5960.0,6812.0,0.0,0.0,14362.0,3617.0,972.0,-3617.0,1558.0,39.0,0.0,0.0,358.0,69.0,2.0,-69.0,866.0,244.0,0.0,0.0,672.0,293.0,35.0,-293.0,1227.0,2100.0,0.0,275.0,433.0,0.0,49.0,0.0,1527.0,5361.0,13.0,0.0,127.0,85.0,790.0,-85.0,28.0,4316.0,0.0,1.0,0.0,0.0,2.0,1.0,795.0,86.0,1.0,21.0,195.0,82.0,320.0,-80.0
